quantity,kgPrice,dateUnix,dateIso
14137.2,3.865715272,1495749600,25/05/2017
16000,3.14,1495749600,25/05/2017
16000,3.499392296,1495749600,25/05/2017
16000,3.14,1495749600,25/05/2017
17789.2,3.913534617,1495749600,25/05/2017
25,0.2,1495836000,26/05/2017
10000,3.709366006,1495836000,26/05/2017
10000,3.709365,1495836000,26/05/2017
14137.2,3.865713859,1496008800,28/05/2017
14137.2,3.865713859,1496008800,28/05/2017
16000,3.139740566,1496008800,28/05/2017
10000,3.709366997,1496008800,28/05/2017
6000,4.467909093,1496095200,29/05/2017
4000,3.72941136,1496095200,29/05/2017
16000,3.139740566,1496181600,30/05/2017
16000,3.139740566,1496181600,30/05/2017
14137.2,3.865715272,1496181600,30/05/2017
17000,3.148788982,1496268000,31/05/2017
17000,3.148788982,1496268000,31/05/2017
7500,3.194139195,1496268000,31/05/2017
17000,3.148788982,1496268000,31/05/2017
13000,3.148788982,1496268000,31/05/2017
4000,3.148788983,1496268000,31/05/2017
17000,3.148788982,1496268000,31/05/2017
1000,4.342040816,1496354400,01/06/2017
101,6.238453767,1496613600,04/06/2017
4788.8,3.81178375,1496613600,04/06/2017
12000,4.141,1496613600,04/06/2017
4788.8,3.81178375,1496613600,04/06/2017
1000,3.728,1496613600,04/06/2017
4788.8,3.81178375,1496613600,04/06/2017
4788.8,3.81178375,1496613600,04/06/2017
500,3.846153846,1496613600,04/06/2017
300,4.003139717,1496700000,05/06/2017
17789.2,3.913534612,1496700000,05/06/2017
16500,3.305,1496700000,05/06/2017
17789.2,3.913535742,1496700000,05/06/2017
2000,4.86656201,1496700000,05/06/2017
16000,3.14,1496872800,07/06/2017
16000,3.14,1496872800,07/06/2017
4788.8,3.81178375,1496872800,07/06/2017
16000,3.14,1496872800,07/06/2017
16000,3.14,1496872800,07/06/2017
4788.8,3.81178375,1496959200,08/06/2017
16000,3.14,1497045600,09/06/2017
16000,3.14,1497045600,09/06/2017
16000,3.14,1497045600,09/06/2017
16000,3.14,1497045600,09/06/2017
20000,3.532182104,1497132000,10/06/2017
6150,4.54469107,1497218400,11/06/2017
2000,3.800001492,1497304800,12/06/2017
2000,7.57,1497304800,12/06/2017
2000,3.800001492,1497304800,12/06/2017
17789.2,3.913535742,1497304800,12/06/2017
14000,3.666735815,1497304800,12/06/2017
7500,4.985774673,1497304800,12/06/2017
500,3.799058084,1497304800,12/06/2017
12000,4.141,1497304800,12/06/2017
2000,4.777094851,1497304800,12/06/2017
2000,7.21605997,1497304800,12/06/2017
10000,4.09254,1497304800,12/06/2017
1000,3.950002041,1497304800,12/06/2017
17000,3.1512,1497304800,12/06/2017
14000,3.666735815,1497304800,12/06/2017
7500,4.985774673,1497304800,12/06/2017
100,14.85,1497304800,12/06/2017
1000,3.950002041,1497304800,12/06/2017
11972,3.766363181,1497391200,13/06/2017
10000,4.092538995,1497391200,13/06/2017
2000,5.444,1497391200,13/06/2017
17789.2,3.904146329,1497391200,13/06/2017
11972,3.766364859,1497391200,13/06/2017
17789.2,3.904147459,1497391200,13/06/2017
16000,3.245,1497391200,13/06/2017
14137.2,3.866041455,1497477600,14/06/2017
45000,3.588061413,1497564000,15/06/2017
11972,3.766365693,1497564000,15/06/2017
1250,4.97,1497564000,15/06/2017
11972,3.766364851,1497564000,15/06/2017
7000,3.552369179,1497564000,15/06/2017
7500,5.092885333,1497564000,15/06/2017
2400,4.677287992,1497650400,16/06/2017
400,4.67728819,1497650400,16/06/2017
2400,4.677287992,1497650400,16/06/2017
2000,3.779527559,1497650400,16/06/2017
2400,4.677287992,1497650400,16/06/2017
2400,4.677287992,1497650400,16/06/2017
11972,3.766365693,1497650400,16/06/2017
7500,3.749984,1497823200,18/06/2017
11972,3.766364851,1497823200,18/06/2017
1000,3.779527559,1497823200,18/06/2017
11972,3.766364851,1497823200,18/06/2017
6000,4.54648252,1497909600,19/06/2017
7500,3.2,1497909600,19/06/2017
4000,4.82828874,1497909600,19/06/2017
17789.2,3.910723927,1497996000,20/06/2017
750,4.563626667,1498082400,21/06/2017
15225,3.296639999,1498082400,21/06/2017
17000,3.201700005,1498082400,21/06/2017
10000,3.704166,1498168800,22/06/2017
16000,3.14,1498168800,22/06/2017
17000,3.158455257,1498168800,22/06/2017
16000,3.14,1498168800,22/06/2017
10000,3.704167008,1498168800,22/06/2017
500,3.5,1498168800,22/06/2017
3000,3.597886667,1498168800,22/06/2017
1200,4.12255628,1498255200,23/06/2017
16000,3.139763779,1498255200,23/06/2017
5450,3.834420611,1498255200,23/06/2017
2050,4.144720514,1498255200,23/06/2017
500,3.956324174,1498255200,23/06/2017
300,3.834420567,1498255200,23/06/2017
7250,4.144720543,1498255200,23/06/2017
16000,3.14,1498255200,23/06/2017
50,3.834422102,1498255200,23/06/2017
2450,4.144720535,1498255200,23/06/2017
3000,3.83442062,1498255200,23/06/2017
1000,3.834420568,1498255200,23/06/2017
4788.8,3.811783762,1498428000,25/06/2017
4788.8,3.811783762,1498428000,25/06/2017
20000,4.33635,1498514400,26/06/2017
4788.8,3.811783762,1498514400,26/06/2017
4788.8,3.811783762,1498514400,26/06/2017
14000,3.497357143,1498514400,26/06/2017
14000,3.666732284,1498514400,26/06/2017
6000,4.8106558,1498514400,26/06/2017
4000,4.52987882,1498514400,26/06/2017
14000,3.666732284,1498514400,26/06/2017
10000,3.704167008,1498514400,26/06/2017
16000,3.2825,1498600800,27/06/2017
17000,3.160873676,1498600800,27/06/2017
34000,3.3128,1498600800,27/06/2017
4788.8,3.811783762,1498687200,28/06/2017
4788.8,3.811783762,1498687200,28/06/2017
51000,3.2926,1498687200,28/06/2017
14137.2,3.854610531,1498687200,28/06/2017
4788.8,3.811783762,1498687200,28/06/2017
4788.8,3.811783762,1498687200,28/06/2017
4788.8,3.811783762,1498687200,28/06/2017
17000,3.201700005,1498773600,29/06/2017
12000,3.90116584,1498773600,29/06/2017
11972,3.775552128,1498773600,29/06/2017
17000,3.201700005,1498773600,29/06/2017
2000,3.779527559,1498773600,29/06/2017
12000,3.90116584,1498773600,29/06/2017
14137.2,3.854612659,1498860000,30/06/2017
14137.2,3.854611244,1498860000,30/06/2017
25000,3.686500003,1498860000,30/06/2017
17789.2,3.904710166,1498860000,30/06/2017
14137.2,3.854609829,1498860000,30/06/2017
25000,3.686500003,1498860000,30/06/2017
14137.2,3.854609829,1498860000,30/06/2017
