dateUnix,dateIso,kgPrice,quantity
1495144800,18-05-17,14.63522013,200
1495231200,19-05-17,10.954,4000
1495231200,19-05-17,11.26451866,1500
1495404000,21-05-17,11.76066667,1500
1495404000,21-05-17,11.46066667,1500
1495404000,21-05-17,14.29414308,500
1495404000,21-05-17,13.21832366,2000
1495404000,21-05-17,10.66923365,2000
1495404000,21-05-17,12.79463244,3000
1495404000,21-05-17,12.14235818,1500
1495404000,21-05-17,10.5545,16000
1495404000,21-05-17,13.21832366,2000
1495404000,21-05-17,13.21832366,2000
1495404000,21-05-17,10.5926,5000
1495404000,21-05-17,14.63522013,200
1495404000,21-05-17,12.14235818,1500
1495490400,22-05-17,11.98113208,500
1495490400,22-05-17,10.79402516,2000
1495490400,22-05-17,12.71337417,0.6
1495663200,24-05-17,11.3477,6000
1495663200,24-05-17,11.54725,2000
1495663200,24-05-17,11.3477,6000
1495663200,24-05-17,12.79463244,3000
1495663200,24-05-17,10.5545,16000
1495663200,24-05-17,10.5545,16000
1495663200,24-05-17,10.5545,16000
1495663200,24-05-17,12.79463244,3000
1495749600,25-05-17,7.610319183,2000
1495749600,25-05-17,14.95479995,650
1495749600,25-05-17,14.79655,1000
1495749600,25-05-17,10.23166667,3000
1495749600,25-05-17,7.609273585,2000
1495749600,25-05-17,12.63,500
1495749600,25-05-17,9.848,12000
1495836000,26-05-17,12.79463244,3000
1495836000,26-05-17,10.50721106,3000
1495836000,26-05-17,10.23166667,3000
1495836000,26-05-17,10.50721106,3000
1496008800,28-05-17,13.06835865,2000
1496008800,28-05-17,12.79463244,3000
1496008800,28-05-17,10.53173936,3000
1496008800,28-05-17,10.53173936,3000
1496008800,28-05-17,11.93661769,2000
1496008800,28-05-17,12.47775688,800
1496008800,28-05-17,12.84180225,3000
1496008800,28-05-17,10.77850802,2000
1496008800,28-05-17,10.25157233,4000
1496008800,28-05-17,12.50185757,1200
1496095200,29-05-17,12.79463244,3000
1496095200,29-05-17,12.79463244,3000
1496181600,30-05-17,38.19114286,350
1496181600,30-05-17,11.61500003,2550
1496181600,30-05-17,14.79655,1000
1496268000,31-05-17,10.08175617,5000
1496268000,31-05-17,10.54642464,16000
1496268000,31-05-17,10.54642464,16000
1496268000,31-05-17,11.08257457,2000
1496268000,31-05-17,10.8828896,2800
1496268000,31-05-17,10.54642464,16000
1496354400,1/6/2017,10.8,2000
1496440800,2/6/2017,12.91851704,2000
1496440800,2/6/2017,13.06848211,2000
1496440800,2/6/2017,10.64750335,3000
1496440800,2/6/2017,10.79744649,9250
1496440800,2/6/2017,10.39758336,3000
1496613600,4/6/2017,15.83931397,100
1496613600,4/6/2017,39.36285714,25
1496613600,4/6/2017,12.29850989,2000
1496613600,4/6/2017,12.29850989,2000
1496613600,4/6/2017,12.29850989,2000
1496700000,5/6/2017,12.14854992,1000
1496700000,5/6/2017,12.29850989,1000
1496700000,5/6/2017,11.62232559,2000
1496700000,5/6/2017,12.1485449,2000
1496700000,5/6/2017,10.5545,16000
1496700000,5/6/2017,13.5000068,300
1496700000,5/6/2017,11.64933485,1000
1496700000,5/6/2017,11.61500005,1500
1496700000,5/6/2017,10.60198151,9000
1496700000,5/6/2017,11.64932983,2000
1496786400,6/6/2017,15.00000079,400
1496786400,6/6/2017,8.751337128,800
1496786400,6/6/2017,15.49776975,150
1496786400,6/6/2017,11.3477,4000
1496786400,6/6/2017,10.89747002,2000
1496872800,7/6/2017,10.825,2000
1496872800,7/6/2017,12.29712998,1000
1496872800,7/6/2017,12.44711994,500
1496872800,7/6/2017,10.75,2000
1496959200,8/6/2017,10.61350039,20000
1497045600,9/6/2017,12.24999916,750
1497218400,11/6/2017,10.64750499,4000
1497218400,11/6/2017,11.19704333,3000
1497304800,12/6/2017,12.24999916,750
1497304800,12/6/2017,10.50756201,5000
1497304800,12/6/2017,9.848,6000
1497304800,12/6/2017,10.77446363,3000
1497304800,12/6/2017,11.3477,2000
1497304800,12/6/2017,16.24959906,500
1497304800,12/6/2017,11.3477,3000
1497304800,12/6/2017,11.85243328,500
1497391200,13-06-17,11.19704333,3000
1497391200,13-06-17,9.7473,2000
1497477600,14-06-17,19.21371733,200
1497477600,14-06-17,10.88417323,2000
1497477600,14-06-17,13.79330709,500
1497477600,14-06-17,11.25032284,2000
1497564000,15-06-17,14.09199055,100
1497564000,15-06-17,10.34170488,3000
1497564000,15-06-17,12.33702118,2000
1497564000,15-06-17,13.296895,4000
1497564000,15-06-17,12.33702118,2000
1497564000,15-06-17,14.09202397,900
1497564000,15-06-17,11.19184651,3000
1497650400,16-06-17,12.79454992,3000
1497650400,16-06-17,14.37000085,1100
1497650400,16-06-17,12.09196735,3000
1497650400,16-06-17,10.1,10000
1497823200,18-06-17,13.8376378,200
1497823200,18-06-17,14.79655008,1000
1497823200,18-06-17,10.12760667,6000
1497823200,18-06-17,14.69655008,1000
1497823200,18-06-17,11.19704336,3000
1497823200,18-06-17,11.19704336,3000
1497909600,19-06-17,10.947435,4000
1497996000,20-06-17,10.04950001,15000
1497996000,20-06-17,11.19704336,3000
1498082400,21-06-17,15.21468247,20000
1498082400,21-06-17,15.0086754,20000
1498082400,21-06-17,9.67383577,7
1498082400,21-06-17,11.19704336,3000
1498082400,21-06-17,12.98267717,1000
1498082400,21-06-17,9.67383577,7
1498168800,22-06-17,38.94750657,300
1498168800,22-06-17,10.34751603,2500
1498168800,22-06-17,15.26772985,2000
1498168800,22-06-17,15.26772985,2000
1498168800,22-06-17,10.732,1000
